accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.113,cifar10,9,1,2,10,3072,50000,-0.055,1585
0.155,cifar10,9,1,5,10,3072,50000,-0.055,153
0.163,cifar10,9,1,10,10,3072,50000,-0.055,207
0.168,cifar10,9,1,20,10,3072,50000,-0.055,269
0.157,cifar10,9,1,50,10,3072,50000,-0.055,500
0.206,cifar10,9,2,2,10,3072,50000,-0.055,1228
0.217,cifar10,9,2,5,10,3072,50000,-0.055,174
0.197,cifar10,9,2,10,10,3072,50000,-0.055,209
0.192,cifar10,9,2,20,10,3072,50000,-0.055,281
0.189,cifar10,9,2,50,10,3072,50000,-0.055,524
0.196,cifar10,9,3,2,10,3072,50000,-0.055,1223
0.253,cifar10,9,3,5,10,3072,50000,-0.055,148
0.243,cifar10,9,3,10,10,3072,50000,-0.055,206
0.239,cifar10,9,3,20,10,3072,50000,-0.055,294
0.226,cifar10,9,3,50,10,3072,50000,-0.055,537
0.209,cifar10,9,4,2,10,3072,50000,-0.055,1113
0.269,cifar10,9,4,5,10,3072,50000,-0.055,152
0.261,cifar10,9,4,10,10,3072,50000,-0.055,207
0.264,cifar10,9,4,20,10,3072,50000,-0.055,297
0.253,cifar10,9,4,50,10,3072,50000,-0.055,550
0.206,cifar10,9,5,2,10,3072,50000,-0.055,1189
0.258,cifar10,9,5,5,10,3072,50000,-0.055,171
0.268,cifar10,9,5,10,10,3072,50000,-0.055,234
0.269,cifar10,9,5,20,10,3072,50000,-0.055,336
0.27,cifar10,9,5,50,10,3072,50000,-0.055,614
0.209,cifar10,9,6,2,10,3072,50000,-0.055,977
0.264,cifar10,9,6,5,10,3072,50000,-0.055,160
0.276,cifar10,9,6,10,10,3072,50000,-0.055,226
0.262,cifar10,9,6,20,10,3072,50000,-0.055,322
0.266,cifar10,9,6,50,10,3072,50000,-0.055,603
0.211,cifar10,9,7,2,10,3072,50000,-0.055,1021
0.272,cifar10,9,7,5,10,3072,50000,-0.055,175
0.283,cifar10,9,7,10,10,3072,50000,-0.055,243
0.271,cifar10,9,7,20,10,3072,50000,-0.055,356
0.258,cifar10,9,7,50,10,3072,50000,-0.055,658
0.203,cifar10,9,8,2,10,3072,50000,-0.055,1115
0.27,cifar10,9,8,5,10,3072,50000,-0.055,164
0.274,cifar10,9,8,10,10,3072,50000,-0.055,231
0.274,cifar10,9,8,20,10,3072,50000,-0.055,342
0.264,cifar10,9,8,50,10,3072,50000,-0.055,634
0.21,cifar10,9,9,2,10,3072,50000,-0.055,991
0.268,cifar10,9,9,5,10,3072,50000,-0.055,177
0.28,cifar10,9,9,10,10,3072,50000,-0.055,236
0.273,cifar10,9,9,20,10,3072,50000,-0.055,349
0.264,cifar10,9,9,50,10,3072,50000,-0.055,674
0.206,cifar10,9,10,2,10,3072,50000,-0.055,1090
0.264,cifar10,9,10,5,10,3072,50000,-0.055,177
0.273,cifar10,9,10,10,10,3072,50000,-0.055,243
0.266,cifar10,9,10,20,10,3072,50000,-0.055,354
0.263,cifar10,9,10,50,10,3072,50000,-0.055,670
0.213,cifar10,9,11,2,10,3072,50000,-0.055,1153
0.273,cifar10,9,11,5,10,3072,50000,-0.055,171
0.284,cifar10,9,11,10,10,3072,50000,-0.055,245
0.267,cifar10,9,11,20,10,3072,50000,-0.055,356
0.261,cifar10,9,11,50,10,3072,50000,-0.055,684
0.211,cifar10,9,12,2,10,3072,50000,-0.055,1327
0.265,cifar10,9,12,5,10,3072,50000,-0.055,181
0.279,cifar10,9,12,10,10,3072,50000,-0.055,249
0.269,cifar10,9,12,20,10,3072,50000,-0.055,365
0.266,cifar10,9,12,50,10,3072,50000,-0.055,693
0.218,cifar10,9,13,2,10,3072,50000,-0.055,431
0.268,cifar10,9,13,5,10,3072,50000,-0.055,188
0.281,cifar10,9,13,10,10,3072,50000,-0.055,260
0.268,cifar10,9,13,20,10,3072,50000,-0.055,386
0.258,cifar10,9,13,50,10,3072,50000,-0.055,734
0.22,cifar10,9,14,2,10,3072,50000,-0.055,995
0.273,cifar10,9,14,5,10,3072,50000,-0.055,210
0.274,cifar10,9,14,10,10,3072,50000,-0.055,291
0.265,cifar10,9,14,20,10,3072,50000,-0.055,427
0.265,cifar10,9,14,50,10,3072,50000,-0.055,795
0.214,cifar10,9,15,2,10,3072,50000,-0.055,617
0.268,cifar10,9,15,5,10,3072,50000,-0.055,194
0.154,cifar10,9,15,10,10,3072,50000,-0.055,271
0.269,cifar10,9,15,20,10,3072,50000,-0.055,400
0.259,cifar10,9,15,50,10,3072,50000,-0.055,766
0.222,cifar10,9,16,2,10,3072,50000,-0.055,1605
0.273,cifar10,9,16,5,10,3072,50000,-0.055,211
0.272,cifar10,9,16,10,10,3072,50000,-0.055,290
0.255,cifar10,9,16,20,10,3072,50000,-0.055,435
0.243,cifar10,9,16,50,10,3072,50000,-0.055,817
0.221,cifar10,9,17,2,10,3072,50000,-0.055,463
0.266,cifar10,9,17,5,10,3072,50000,-0.055,214
0.264,cifar10,9,17,10,10,3072,50000,-0.055,296
0.238,cifar10,9,17,20,10,3072,50000,-0.055,447
0.218,cifar10,9,17,50,10,3072,50000,-0.055,842
0.223,cifar10,9,18,2,10,3072,50000,-0.055,1085
0.269,cifar10,9,18,5,10,3072,50000,-0.055,203
0.231,cifar10,9,18,10,10,3072,50000,-0.055,284
0.109,cifar10,9,18,20,10,3072,50000,-0.055,432
0.163,cifar10,9,18,50,10,3072,50000,-0.055,831
